temporada;data_jogo;rodada;time_casa;time_fora;gols_casa;gols_fora;placar;resultado
2012;2012-11-18 19:30:00;36;Internacional-RS;Corinthians-SP;0;2;0-2;Vitória Fora
2012;2012-11-18 19:30:00;36;Portuguesa-SP;Gremio-RS;2;2;2-2;Empate
2012;2012-11-24 19:30:00;37;Corinthians-SP;Santos-SP;1;1;1-1;Empate
2012;2012-11-24 19:30:00;37;Vasco da Gama-RJ;Flamengo-RJ;1;1;1-1;Empate
2012;2012-11-25 17:00:00;37;Ponte Preta-SP;Sao Paulo-SP;0;0;0-0;Empate
2012;2012-11-25 17:00:00;37;Sport-PE;Fluminense-RJ;1;1;1-1;Empate
2012;2012-11-25 17:00:00;37;Figueirense-SC;Gremio-RS;2;4;2-4;Vitória Fora
2012;2012-11-25 17:00:00;37;Bahia-BA;Nautico-PE;1;1;1-1;Empate
2012;2012-11-25 17:00:00;37;Cruzeiro-MG;Coritiba-PR;2;1;2-1;Vitória Casa
2012;2012-11-25 17:00:00;37;Internacional-RS;Portuguesa-SP;0;2;0-2;Vitória Fora
2012;2012-11-25 17:00:00;37;Palmeiras-SP;Atletico-GO;1;2;1-2;Vitória Fora
2012;2012-11-25 17:00:00;37;Botafogo-RJ;Atletico-MG;2;3;2-3;Vitória Fora
2012;2012-12-01 19:30:00;38;Flamengo-RJ;Botafogo-RJ;2;2;2-2;Empate
2012;2012-12-01 19:30:00;38;Santos-SP;Palmeiras-SP;3;1;3-1;Vitória Casa
2012;2012-12-02 17:00:00;38;Fluminense-RJ;Vasco da Gama-RJ;1;2;1-2;Vitória Fora
2012;2012-12-02 17:00:00;38;Sao Paulo-SP;Corinthians-SP;3;1;3-1;Vitória Casa
2012;2012-12-02 17:00:00;38;Gremio-RS;Internacional-RS;0;0;0-0;Empate
2012;2012-12-02 17:00:00;38;Atletico-MG;Cruzeiro-MG;3;2;3-2;Vitória Casa
2012;2012-12-02 17:00:00;38;Portuguesa-SP;Ponte Preta-SP;0;0;0-0;Empate
2012;2012-12-02 17:00:00;38;Coritiba-PR;Figueirense-SC;3;0;3-0;Vitória Casa
2012;2012-12-02 17:00:00;38;Nautico-PE;Sport-PE;1;0;1-0;Vitória Casa
2012;2012-12-02 17:00:00;38;Atletico-GO;Bahia-BA;0;1;0-1;Vitória Fora
2013;2013-05-25 18:30:00;1;Vasco da Gama-RJ;Portuguesa-SP;1;0;1-0;Vitória Casa
2013;2013-05-25 18:30:00;1;Vitoria-BA;Internacional-RS;2;2;2-2;Empate
2013;2013-05-25 21:00:00;1;Corinthians-SP;Botafogo-RJ;1;1;1-1;Empate
2013;2013-05-26 16:00:00;1;Gremio-RS;Nautico-PE;2;0;2-0;Vitória Casa
2013;2013-05-26 16:00:00;1;Ponte Preta-SP;Sao Paulo-SP;0;2;0-2;Vitória Fora
2013;2013-05-26 16:00:00;1;Criciuma-SC;Bahia-BA;3;1;3-1;Vitória Casa
2013;2013-05-26 16:00:00;1;Santos-SP;Flamengo-RJ;0;0;0-0;Empate
2013;2013-05-26 18:30:00;1;Fluminense-RJ;Atletico-PR;2;1;2-1;Vitória Casa
2013;2013-05-26 18:30:00;1;Cruzeiro-MG;Goias-GO;5;0;5-0;Vitória Casa
2013;2013-05-26 18:30:00;1;Coritiba-PR;Atletico-MG;2;1;2-1;Vitória Casa
2013;2013-05-29 15:00:00;2;Atletico-PR;Cruzeiro-MG;2;2;2-2;Empate
2013;2013-05-29 19:30:00;2;Botafogo-RJ;Santos-SP;2;1;2-1;Vitória Casa
2013;2013-05-29 19:30:00;2;Sao Paulo-SP;Vasco da Gama-RJ;5;1;5-1;Vitória Casa
2013;2013-05-29 21:00:00;2;Flamengo-RJ;Ponte Preta-SP;0;2;0-2;Vitória Fora
2013;2013-05-29 21:00:00;2;Bahia-BA;Coritiba-PR;0;0;0-0;Empate
2013;2013-05-29 21:00:00;2;Nautico-PE;Vitoria-BA;0;3;0-3;Vitória Fora
2013;2013-05-29 22:00:00;2;Goias-GO;Corinthians-SP;1;1;1-1;Empate
2013;2013-05-30 19:30:00;2;Internacional-RS;Criciuma-SC;2;0;2-0;Vitória Casa
2013;2013-06-09 18:30:00;2;Atletico-MG;Gremio-RS;2;0;2-0;Vitória Casa
2013;2013-06-12 22:00:00;2;Portuguesa-SP;Fluminense-RJ;2;1;2-1;Vitória Casa
2013;2013-06-01 16:20:00;3;Atletico-PR;Flamengo-RJ;2;2;2-2;Empate
2013;2013-06-01 16:20:00;3;Santos-SP;Gremio-RS;1;1;1-1;Empate
2013;2013-06-01 16:20:00;3;Botafogo-RJ;Cruzeiro-MG;2;1;2-1;Vitória Casa
2013;2013-06-01 18:30:00;3;Goias-GO;Coritiba-PR;1;1;1-1;Empate
2013;2013-06-01 18:30:00;3;Vitoria-BA;Vasco da Gama-RJ;2;0;2-0;Vitória Casa
2013;2013-06-01 21:00:00;3;Corinthians-SP;Ponte Preta-SP;1;0;1-0;Vitória Casa
2013;2013-06-02 18:30:00;3;Fluminense-RJ;Criciuma-SC;3;0;3-0;Vitória Casa
2013;2013-06-02 18:30:00;3;Internacional-RS;Bahia-BA;1;2;1-2;Vitória Fora
2013;2013-06-02 18:30:00;3;Nautico-PE;Portuguesa-SP;2;2;2-2;Empate
2013;2013-06-02 18:30:00;3;Atletico-MG;Sao Paulo-SP;0;0;0-0;Empate
2013;2013-06-05 19:30:00;4;Portuguesa-SP;Internacional-RS;1;1;1-1;Empate
2013;2013-06-05 19:30:00;4;Sao Paulo-SP;Goias-GO;0;1;0-1;Vitória Fora
2013;2013-06-05 19:30:00;4;Criciuma-SC;Santos-SP;3;1;3-1;Vitória Casa
2013;2013-06-05 21:00:00;4;Ponte Preta-SP;Atletico-PR;3;4;3-4;Vitória Fora
2013;2013-06-05 21:00:00;4;Gremio-RS;Vitoria-BA;1;0;1-0;Vitória Casa
2013;2013-06-05 21:00:00;4;Vasco da Gama-RJ;Atletico-MG;2;0;2-0;Vitória Casa
2013;2013-06-05 22:00:00;4;Flamengo-RJ;Nautico-PE;0;1;0-1;Vitória Fora
2013;2013-06-05 22:00:00;4;Bahia-BA;Botafogo-RJ;2;1;2-1;Vitória Casa
2013;2013-06-05 22:00:00;4;Cruzeiro-MG;Corinthians-SP;1;0;1-0;Vitória Casa
2013;2013-06-06 21:00:00;4;Coritiba-PR;Fluminense-RJ;2;1;2-1;Vitória Casa
2013;2013-06-08 16:20:00;5;Cruzeiro-MG;Internacional-RS;2;2;2-2;Empate
2013;2013-06-08 16:20:00;5;Criciuma-SC;Flamengo-RJ;0;3;0-3;Vitória Fora
2013;2013-06-08 18:30:00;5;Vasco da Gama-RJ;Bahia-BA;1;1;1-1;Empate
2013;2013-06-08 18:30:00;5;Corinthians-SP;Portuguesa-SP;0;0;0-0;Empate
2013;2013-06-08 21:00:00;5;Ponte Preta-SP;Botafogo-RJ;0;2;0-2;Vitória Fora
2013;2013-06-09 18:30:00;5;Vitoria-BA;Atletico-PR;3;2;3-2;Vitória Casa
2013;2013-06-09 18:30:00;5;Coritiba-PR;Nautico-PE;1;0;1-0;Vitória Casa
2013;2013-06-09 18:30:00;5;Fluminense-RJ;Goias-GO;2;1;2-1;Vitória Casa
2013;2013-06-12 19:30:00;5;Santos-SP;Atletico-MG;1;0;1-0;Vitória Casa
2013;2013-06-12 22:00:00;5;Gremio-RS;Sao Paulo-SP;1;1;1-1;Empate
2013;2013-07-06 18:30:00;6;Flamengo-RJ;Coritiba-PR;2;2;2-2;Empate
2013;2013-07-06 18:30:00;6;Nautico-PE;Ponte Preta-SP;1;3;1-3;Vitória Fora
2013;2013-07-06 18:30:00;6;Atletico-PR;Gremio-RS;1;1;1-1;Empate
2013;2013-07-06 21:00:00;6;Portuguesa-SP;Cruzeiro-MG;1;1;1-1;Empate
2013;2013-07-07 16:00:00;6;Goias-GO;Vitoria-BA;1;0;1-0;Vitória Casa
2013;2013-07-07 16:00:00;6;Internacional-RS;Vasco da Gama-RJ;5;3;5-3;Vitória Casa
2013;2013-07-07 16:00:00;6;Sao Paulo-SP;Santos-SP;0;2;0-2;Vitória Fora
2013;2013-07-07 16:00:00;6;Bahia-BA;Corinthians-SP;0;2;0-2;Vitória Fora
2013;2013-07-07 18:30:00;6;Botafogo-RJ;Fluminense-RJ;1;0;1-0;Vitória Casa
2013;2013-07-07 18:30:00;6;Atletico-MG;Criciuma-SC;3;2;3-2;Vitória Casa
2013;2013-07-13 18:30:00;7;Fluminense-RJ;Internacional-RS;2;3;2-3;Vitória Fora
2013;2013-07-13 18:30:00;7;Santos-SP;Portuguesa-SP;4;1;4-1;Vitória Casa
2013;2013-07-13 21:00:00;7;Ponte Preta-SP;Bahia-BA;0;0;0-0;Empate
2013;2013-07-14 16:00:00;7;Vitoria-BA;Sao Paulo-SP;3;2;3-2;Vitória Casa
